,id,kw,jahr,nutzer,stall
0,220,8,2024,nutzer,Stall 1
1,255,9,2024,nutzer,Stall 2
2,269,7,2024,slava1,Stall 2
3,298,7,2024,mischa,Stall 2
4,303,12,2024,slava,Stall 2
5,305,7,2024,slava,Stall 1
6,320,7,2025,nutzer,Stall 2
7,321,52,2023,nutzer,Stall 2
8,456,7,2024,nutzer,Stall 1
9,473,38,2027,nutzer,Stall 2
10,489,14,2024,nutzer,Stall 1
11,497,8,2024,nutzer,Stall 2
12,501,7,2024,slava,Stall 2
13,502,49,2023,slava,Stall 2
14,503,36,2027,slava,Stall 2
15,504,14,2024,slava,Stall 1
16,505,10,2024,slava,Stall 2
17,506,6,2025,slava,Stall 2
18,507,6,2024,slava,Stall 2
19,508,6,2024,slava,Stall 1
20,509,2,2025,slava,Stall 1
21,531,49,2023,nutzer,Stall 2
22,532,36,2027,nutzer,Stall 2
23,533,6,2025,nutzer,Stall 2
24,534,6,2024,nutzer,Stall 2
25,535,6,2024,nutzer,Stall 1
26,540,2,2025,nutzer,Stall 1
27,568,7,2024,nutzer,Stall 2
